,English,Spanish,French,German,Russian,Arabic
Who should do this course? SPANISH VOCAB,"Those who’d like to spice up their language repertoire , - Travellers to Spain or Latin America, - Anyone interested in the learning about the vibrant Spanish culture, - Anyone interested in the field of translation and linguistics","Aquellos que desean da vida a su repertorio lingüístico, - Quienes viajen a España o América Latina, - Cualquier persona interesada en aprender acerca de la dinámica cultura española, - Cualquier persona interesada en el campo de la traducción y la lingüística",,,,أولئك الذين يرغبون في تحسين مدخراتهم اللغوية    -----    المسافرون إلى إسبانيا أو أمريكا اللاتينية  ---- أي شخص مهتم بالتعرف على الثقافة الإسبانية النابضة بالحياة  ------  أي شخص مهتم في مجال الترجمة واللغويات
What is this course about German VOCAB,"This German language course teaches you the basic conversational skills you’ll need to survive your first trip to Germany. It includes topics like how to meet and greet people, order food in a restaurant, book a flight, and even how to make social conversation. You just need to choose your mother tongue on the homepage and “bitte sehr”, now you have a new language in your repertoire!","Este curso de alemán te enseña las habilidades básicas de conversación necesarias para sobrevivir a tu primer viaje a Alemania. Incluye temas como conocer y saludar a la gente, pedir comida en un restaurante, reservar un vuelo, e incluso cómo entablar conversaciones sociales. Solo tienes que elegir tu lengua materna en la página principal y ""bitte sehr"", ¡ya tienes otro idioma más en tu repertorio!",,"Dieser Deutschkurs lehrt Sie die Konversationsgrundlagen, die Sie auf Ihrer ersten Reise nach Deutschland zum Überleben brauchen. Die Themenauswahl umfasst „Leute treffen und begrüßen“, „Essen im Restaurant bestellen“, „Einen Flug buchen“ und auch, wie man soziale Konversation betreibt. Sie müssen lediglich Ihre Muttersprache auf der Homepage auswählen und  „bitte sehr”: Sie haben eine neue Sprache in Ihrem Repertoire!","Этот курс немецкого языка обучит вас основным навыкам общения, необходимым в вашей первой поездке в Германию. Он включает такие темы, как: знакомство и приветствия, заказ в ресторане, бронирование рейса, даже простое общение. Просто выберите на главной странице свой родной язык, и bitte sehr – теперь в вашем репертуаре есть новый язык!",
Who should do this course? German VOCAB,"Those interested in learning about the German language and culture , - Travellers to Germany, Austria, Switzerland or The Netherlands, - Anyone interested in international business communication, - Anyone interested in the field of translation and linguistics","Cualquier persona interesada en aprender acerca de la lengua y cultura alemana, - Quien viaje a Alemania, Austria, Suiza o los Países Bajos, - Cualquier persona interesada en la comunicación empresarial internacional, - Cualquier persona interesada en el campo de la traducción y la lingüística",,"Alle, die ein Interesse haben, die deutsche Sprache und Kultur zu erlernen , - Personen, die nach Deutschland, Österreich, in die Schweiz oder in die Niederlande reisen, - Alle, die an internationaler Geschäftskommunikation interessiert sind, - Alle, die sich für Übersetzung und Linguistik interessieren","Всем, кому интересны немецкий язык и культура , - Собирающимся посетить Германию, Австрию, Швейцарию или Нидерланды, - Всем, кому интересно международное деловое общение, - Всем, кому интересны переводы и лингвистика",
What is this course about French VOCAB,"“Bonjour” and “Bon Appétit!” If those are the only French words you know, and you’d like to learn more about the language of love, then this course is for you. Here you’ll be able to develop your vocabulary and make your journey to France or any other French-speaking country much more memorable! Simply select your native language on the homepage, and “voilà”, you are ready to learn a new language. “Bon voyage!”","“Bonjour” y “Bon Appétit!” Si esas son las únicas palabras que conoces y te gustaría profundizar tus conocimientos del idioma del amor, entonces este es tu curso. Aquí podrás desarrollar tu vocabulario y hacer que un viaje a Francia o cualquier otro país de habla francesa sea inolvidable. ¡Selecciona tu lengua materna en la página de inicio y “voilà”, estarás preparado para aprender un nuevo idioma “Bon voyage”!",,,,
Who should do this course?  French VOCAB,"Those interested in French culture, food and history, - Travellers to France or any other French speaking country, - Those interested in widely increasing their job prospects","Aquellos que estén interesados en la cultura francesa, gastronomía e historia, - Personas que viajen a Francia o cualquier otro país francófono, - Aquellos que quieran aumentar sus oportunidades laborales",,,,
What is this course about? Russian VOCAB,Do you know that Russian is the 5th most spoken language in the world? It is widely used in Eurasia so it can be pretty beneficial for you if you’re looking to explore that part of the world extensively. The Russian language course includes topics for everyday use and makes starting a conversation much easier. Select your first language on the homepage and you’ll soon be ready for your trip!,¿Sabías que el ruso es el 5º idioma más hablado del mundo? Se habla mucho en Eurasia así que podrías beneficiarte si te gustaría explorar a fondo está parte del globo. El curso de lengua rusa abarca temas para el uso cotidiano y hace que empezar una conversación sea mucho más fácil. ¡Selecciona tu lengua materna en la página de inicio y pronto estarás preparado para tu viaje!,,,"Знаете ли вы, что русский язык является пятым по общему числу говорящих в мире? Он широко распространен в Евразии, поэтому очень выгодно владеть русским, если вы намерены интенсивно исследовать эту часть мира. Курс русского языка включает в себя темы ежедневного общения, что позволит вам легче завязать разговор. Выберите свой первый язык на домашней странице, и вскоре вы будете готовы к своему путешествию!",
Who should do this course? Russian VOCAB,"Those interested in learning about the Russian language, alphabet and culture , - Travellers to, - Eastern Europe, Russia, or Eurasia in general, - Anyone interested in studying abroad, - Anyone interested in the field of translation and linguistics","Aquellos interesados en aprender sobre la lengua rusa, alfabeto y cultura, - Aquellos que quieran viajar al este de Europa, Rusia o Eurasia en general, - Aquellos interesados en estudiar en el extranjero, - Aquellos interesados en el campo de la traducción y la lingüística",,,"Для желающих познакомиться с русским языком, алфавитом и культурой , - Для путешествующих в Восточную Европу, Россию или Евразию, - Для всех, кто желает учиться за рубежом, - Для всех, кто интересуется переводами и лингвистикой",
What is this course about? Arabic VOCAB,"Arabic is one of the oldest languages in the world and its written from right to left. Arabic has lent many words to not only other Middle Eastern and African countries, but also to many other languages in the western world. This introductory course enables you to use the Modern Standard Arabic in daily life. Learn what to say when you want to greet someone, order food or ask for directions. Simply select your native language from the homepage, and start learning now!","El árabe es uno de los idiomas más antiguos del mundo y se escriba de izquierda a derecha. El árabe ha prestado muchas palabras, no solo a otros países de Oriente Próximo y de África, sino también a muchos otros idiomas de Occidente. Este curso introductorio te permitirá usar el árabe moderno estándar en situaciones de la vida cotidiana. Aprende a saludar, pedir comida o preguntar por lugares. ¡Selecciona tu lengua materna en la página de inicio y empieza a aprender árabe!",,,,
Who should do this course? Arabic VOCAB,"Anyone who’d like to learn about Middle Eastern culture, - Travellers planning a trip to the Middle East or Northern Africa, - Those interested in learning a new alphabet, - Anyone interested in world news or politics","Personas a las que les gustaría aprender sobre la cultura de Oriente Próximo, - Personas que quieran viajar a Oriente Próximo o al norte de África, - Aquellos que estén interesados en aprender un nuevo alfabeto, - Personas interesadas en política o lo que sucede en el mundo",,,,
What is this course about? English VOCAB,"English is one of the most widely spoken languages in the world. It is the international language of business and one of the official languages of the UN. Learning English will greatly benefit anyone who is travelling to anywhere in the world. This vocabulary course will help you with your pronunciation of words from all kinds of topics, from food to directions. Simply select your native language from the homepage, and start learning now!","El inglés es una de las lenguas más habladas del mundo. Es el idioma internacional en el mundo de los negocios y una de las lenguas oficiales de la ONU. Aprender inglés te ayudará para viajar a cualquier parte del mundo. Este curso de vocabulario te ayudará a mejorar la pronunciación de palabras de temática variada, desde comidas a direcciones. ¡Selecciona tu lengua materna en la página de inicio y empieza a aprender inglés!",,,,
Who should do this course? English VOCAB,"Anyone interested in international business communication, - Anyone interested in travelling abroad, - Anyone interested in the history of the British Empire","Cualquiera que esté interesado en la comunicación intercultural en los negocios, - Cualquiera que esté interesado en viajar al extranjero, - Cualquiera que esté interesado en la historia del imperio británico",,,,
